 , , , , , ,Made,Miss,40-49,50+,Made,Miss,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,FG,FG,FG,FG,XP,XP,FP,FP,VBD,VBD,VAL
 1. ,"Kaeding, Nate",SD,K,6,16,27.7,4.7,7.5,2.5,47.6,0.1,8,128.5,0.2,3.5,0.8
 2. ,"Gostkowski, Stephen",NE,K,7,16,25.3,4.6,6.7,2.4,51.5,0.1,7.8,125,0,0,0
 3. ,"Rackers, Neil",HOU,K,11,16,26.7,4.3,7,2.7,42.9,0.1,7.6,121.4,-0.2,-3.6,-0.9
 4. ,"Henery, Alex",PHI,K,7,16,26,5.2,6.9,2.3,45.4,0.1,7.5,120.4,-0.3,-4.6,-1.1
 5. ,"Crosby, Mason",GB,K,8,16,24.8,5.4,6.6,2.5,48,0.3,7.5,119.2,-0.4,-5.8,-1.4
 6. ,"Brown, Josh",STL,K,5,16,28.3,4.4,7.2,2.7,35,0.1,7.4,118,-0.4,-7,-1.7
 7. ,"Bryant, Matt",ATL,K,8,16,26,4.9,7.2,2.3,41.8,0.1,7.3,117.2,-0.5,-7.8,-1.9
 8. ,"Cundiff, Billy",BAL,K,5,16,26.2,4.7,7.1,2.2,40.2,0.1,7.3,116.3,-0.5,-8.7,-2.1
 9. ,"Vinatieri, Adam",IND,K,11,16,24.5,4.1,6.5,2.2,43,0.1,7.2,114.6,-0.7,-10.4,-2.5
 10. ,"Janikowski, Sebastian",OAK,K,8,16,27.1,5.8,7.4,2.5,36,0.3,7.1,113.7,-0.7,-11.3,-2.7
 11. ,"Suisham, Shaun",PIT,K,11,16,25,4.9,6.5,2.1,40.3,0.1,7,112.6,-0.8,-12.5,-3
 12. ,"Hanson, Jason",DET,K,9,16,24.9,4.7,6.7,2.6,40.2,0.3,7,112.6,-0.8,-12.5,-3
 13. ,"Gould, Robbie",CHI,K,8,16,25,4,6.5,2.5,37.5,0.1,6.9,110.9,-0.9,-14.2,-3.4
 14. ,"Buehler, David",DAL,K,5,16,24,6.5,6.6,2.3,41.5,0,6.8,109.3,-1,-15.7,-3.8
 15. ,"Folk, Nick",NYJ,K,8,16,25,5.2,6.2,2.3,37,0.1,6.8,109,-1,-16,-3.9
 16. ,"Carpenter, Dan",MIA,K,5,16,25.5,5.7,7,2.7,31.4,0.1,6.6,104.9,-1.3,-20.1,-4.8
 17. ,"Scobee, Josh",JAX,K,9,16,23.6,4,6.7,2.2,36,0.1,6.6,104.9,-1.3,-20.2,-4.8
 18. ,"Barth, Connor",TB,K,8,16,23.8,4.8,6.1,2,36.2,0.1,6.5,104.7,-1.3,-20.3,-4.9
 19. ,"Bironas, Rob",TEN,K,6,16,24.2,3.8,6.5,2.2,33.6,0.1,6.5,104.5,-1.3,-20.5,-4.9
 20. ,"Tynes, Lawrence",NYG,K,7,16,22.4,4.5,5.8,2.1,39.7,0.3,6.5,104.4,-1.3,-20.6,-5
 21. ,"Bailey, Dan",DAL,K,5,16,23.5,4.9,6.4,2.4,36.8,0.5,6.5,104.2,-1.3,-20.8,-5
 22. ,"Feely, Jay",ARI,K,6,16,24.3,4.5,6.5,2.4,32.6,0.1,6.5,103.4,-1.4,-21.6,-5.2
 23. ,"Akers, David",SF,K,7,16,24,4.2,6.4,2.1,30.9,0.1,6.3,100.7,-1.5,-24.3,-5.8
 24. ,"Succop, Ryan",KC,K,6,16,22.4,4,6.1,1.8,35.5,0.1,6.3,100.4,-1.5,-24.6,-5.9
 25. ,"Prater, Matt",DEN,K,6,16,23,4.1,6.7,2.3,33.5,0.1,6.3,100.3,-1.5,-24.7,-5.9
 26. ,"Mare, Olindo",CAR,K,9,16,23.3,4.4,6.2,2.2,32.6,0.1,6.3,100.2,-1.6,-24.8,-6
 27. ,"Reed, Jeff",a,K,0,16,23.3,4.4,6.2,1.5,31.9,0.1,6.2,98.9,-1.6,-26.1,-6.3
 28. ,"Gano, Graham",WAS,K,5,16,23.9,6.2,6.8,1.9,30.7,0.3,6.1,97.8,-1.7,-27.2,-6.5
 29. ,"Lindell, Rian",BUF,K,7,16,21.5,4.4,5.8,2,31.6,0.1,5.9,93.6,-2,-31.4,-7.6
 30. ,"Longwell, Ryan",MIN,K,9,16,21,3.9,5.7,1.6,31.7,0.1,5.8,92.2,-2.1,-32.8,-7.9
 31. ,"Hauschka, Steven",SEA,K,6,16,23,5.3,6,2.3,25.7,0,5.7,91.7,-2.1,-33.4,-8
 32. ,"Kasay, John",NO,K,11,16,19.8,3.3,5.7,1.4,34.2,0.1,5.7,91.6,-2.1,-33.5,-8
 33. ,"Dawson, Phil",CLE,K,5,16,21.3,4.4,5.3,1.6,29.9,0.1,5.7,90.9,-2.1,-34.2,-8.2
 34. ,"Nugent, Mike",CIN,K,7,16,21.2,4.5,6,2,28.5,0,5.6,89.8,-2.2,-35.3,-8.5
 35. ,"Hartley, Garrett",NO,K,11,16,16.5,4.5,4.3,1.5,35,0,5.1,81.5,-2.7,-43.5,-10.5
