 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 1. ,"Johnson, Andre",HOU,WR,11,16,0,0,0,98.6,"1,404",9.8,15.5,248.6,6.1,97.9,23.5
 2. ,"White, Roddy",ATL,WR,8,16,0,0,0,96.7,"1,285",9.9,14.8,236.2,5.3,85.5,20.6
 3. ,"Johnson, Calvin",DET,WR,9,16,1,4,0,81.7,"1,256",11.5,14.7,235.6,5.3,84.9,20.4
 4. ,"Nicks, Hakeem",NYG,WR,7,16,0,0,0,88.9,"1,220",11,14.5,232.6,5.1,82,19.7
 5. ,"Fitzgerald, Larry",ARI,WR,6,16,0,0,0,94.5,"1,244",9.9,14.4,231,5,80.3,19.3
 6. ,"Jackson, Vincent",SD,WR,6,16,0,0,0,72.3,"1,204",9.4,13.3,212.8,3.9,62.1,15
 7. ,"Wayne, Reggie",IND,WR,11,16,0,0,0,92,"1,136",7.8,12.9,206.2,3.5,55.5,13.4
 8. ,"Wallace, Mike",PIT,WR,11,16,1,4,0,66.1,"1,194",8.8,12.9,205.6,3.4,55,13.2
 9. ,"Jennings, Greg",GB,WR,8,16,0,0,0,72.9,"1,166",8.6,12.8,204.5,3.4,53.8,13
 10. ,"Austin, Miles",DAL,WR,5,16,1,10,0,75.8,"1,117",8.4,12.6,201.2,3.2,50.5,12.1
 11. ,"Williams, Mike",TB,WR,8,16,0,0,0,70.7,"1,064",8.7,12.1,193.7,2.7,43,10.3
 12. ,"Bryant, Dez",DAL,WR,5,16,0,0,0,72.7,"1,043",8.4,12,191.2,2.5,40.5,9.8
 13. ,"Bowe, Dwayne",KC,WR,6,16,0,0,0,71.9,"1,037",8.6,11.9,191.1,2.5,40.4,9.7
 14. ,"Marshall, Brandon",MIA,WR,5,16,1,3,0,86.7,"1,079",6.3,11.8,189.1,2.4,38.4,9.2
 15. ,"Holmes, Santonio",NYJ,WR,8,16,0,0,0,71.1,"1,056",7.5,11.6,186.1,2.2,35.4,8.5
 16. ,"Johnson, Steve",BUF,WR,7,16,0,0,0,78.2,991,7.8,11.6,185,2.1,34.3,8.2
 17. ,"Lloyd, Brandon",STL,WR,5,16,0,0,0,68.2,"1,082",7.1,11.5,184.7,2.1,34,8.2
 18. ,"Jackson, DeSean",PHI,WR,7,16,3,18,0.1,58.1,"1,064",7.4,11.4,182.7,2,32,7.7
 19. ,"Welker, Wes",NE,WR,7,16,0,0,0,86.4,930,6.3,10.9,174.3,1.5,23.6,5.7
 20. ,"Boldin, Anquan",BAL,WR,5,16,0,0,0,72.8,945,7.1,10.8,173.3,1.4,22.6,5.4
 21. ,"Britt, Kenny",TEN,WR,6,16,0,0,0,62.6,969,7,10.6,170.2,1.2,19.5,4.7
 22. ,"Harvin, Percy",MIN,WR,9,16,3,23,0.1,73.9,927,5.7,10.4,166.9,1,16.2,3.9
 23. ,"Moss, Santana",WAS,WR,5,16,1,5,0,73.4,948,5.4,10.3,164.4,0.9,13.7,3.3
 24. ,"Collie, Austin",IND,WR,11,16,0,0,0,71.7,827,7.1,10.1,160.9,0.6,10.2,2.5
 25. ,"Maclin, Jeremy",PHI,WR,7,16,1,3,0,63.8,862,6.6,9.9,157.8,0.4,7.2,1.7
 26. ,"Thomas, Mike",JAX,WR,9,16,1,10,0,70.3,883,4.8,9.6,153.5,0.2,2.8,0.7
 27. ,"Jones, Julio",ATL,WR,8,16,0,0,0,62.8,850,6.1,9.5,152.8,0.1,2.1,0.5
 28. ,"Moore, Lance",NO,WR,11,16,0,0,0,65.9,784,6.6,9.4,151.1,0,0.4,0.1
 29. ,"Manningham, Mario",NYG,WR,7,16,0,0,0,57.1,835,6.4,9.4,150.7,0,0,0
 30. ,"Rice, Sidney",SEA,WR,6,16,0,0,0,58.1,850,5.4,9.2,146.4,-0.3,-4.3,-1
 31. ,"Colston, Marques",NO,WR,11,16,0,0,0,60,804,5.9,9.1,145.9,-0.3,-4.8,-1.2
 32. ,"Ochocinco, Chad",NE,WR,7,16,0,0,0,57.8,763,5.9,8.8,140.7,-0.6,-10,-2.4
 33. ,"Smith, Steve",CAR,WR,9,16,0,0,0,62.9,811,4.7,8.8,140.6,-0.6,-10.1,-2.4
 34. ,"Garcon, Pierre",IND,WR,11,16,0,0,0,58.4,766,5.8,8.8,140.4,-0.6,-10.3,-2.5
 35. ,"Green, A.J.",CIN,WR,7,16,0,0,0,61.2,797,4.8,8.7,139.2,-0.7,-11.4,-2.8
 36. ,"Amendola, Danny",STL,WR,5,16,1,5,0,77.5,756,4,8.7,139,-0.7,-11.7,-2.8
 37. ,"Burleson, Nate",DET,WR,9,16,1,4,0,58.4,740,5.4,8.5,136.1,-0.9,-14.6,-3.5
 38. ,"Evans, Lee",BAL,WR,5,16,0,0,0,52,769,5.3,8.4,134.4,-1,-16.3,-3.9
 39. ,"Ford, Jacoby",OAK,WR,8,16,1,7,0,50.3,777,4.7,8.2,131.6,-1.2,-19.1,-4.6
 40. ,"Bess, Davone",MIA,WR,5,16,0,0,0,67.4,736,4,8.2,131.1,-1.2,-19.5,-4.7
 41. ,"Floyd, Malcom",SD,WR,6,16,0,0,0,46.5,742,5.4,8.1,129.9,-1.3,-20.8,-5
 42. ,"Meachem, Robert",NO,WR,11,16,1,3,0,51.3,723,5.1,8.1,128.9,-1.4,-21.8,-5.2
 43. ,"Burress, Plaxico",NYJ,WR,8,16,0,0,0,50,651,6.1,7.9,126.5,-1.5,-24.2,-5.8
 44. ,"Ward, Hines",PIT,WR,11,16,0,0,0,55.9,680,4.9,7.8,125.2,-1.6,-25.5,-6.1
 45. ,"Knox, Johnny",CHI,WR,8,16,0,0,0,46.9,725,4.7,7.8,124.1,-1.7,-26.6,-6.4
 46. ,"Sims-Walker, Mike",JAX,WR,9,16,0,0,0,50.5,676,5.1,7.7,123.6,-1.7,-27.1,-6.5
 47. ,"Edwards, Braylon",SF,WR,7,16,0,0,0,48.5,694,4.4,7.5,120,-1.9,-30.7,-7.4
 48. ,"Williams, Roy",CHI,WR,8,16,0,0,0,46.2,629,5.5,7.4,119,-2,-31.7,-7.6
 49. ,"Roberts, Andre",ARI,WR,6,16,0,0,0,53.6,688,3.9,7.4,118.9,-2,-31.8,-7.6
 50. ,"Nelson, Jordy",GB,WR,8,16,0,0,0,49,637,4.7,7.3,116.3,-2.2,-34.4,-8.3
 51. ,"Bennett, Earl",CHI,WR,8,16,0,0,0,52.8,631,4.4,7.2,115.9,-2.2,-34.8,-8.4
 52. ,"Simpson, Jerome",CIN,WR,7,16,0,0,0,49.7,658,4,7.2,114.5,-2.3,-36.2,-8.7
 53. ,"Little, Greg",CLE,WR,5,16,0,0,0,50.2,649,3.8,7.1,113,-2.4,-37.7,-9.1
 54. ,"Benn, Arrelious",TB,WR,8,16,1,7,0,46,638,4.1,7,112.2,-2.4,-38.5,-9.3
 55. ,"Walter, Kevin",HOU,WR,11,16,0,0,0,50.4,601,3.9,6.8,108.6,-2.6,-42.1,-10.1
 56. ,"Williams, Mike",SEA,WR,6,16,0,0,0,50.1,602,3.9,6.8,108.5,-2.6,-42.1,-10.1
 57. ,"Royal, Eddie",DEN,WR,6,16,1,5,0,52.5,599,3.3,6.7,106.5,-2.8,-44.2,-10.6
 58. ,"Crabtree, Michael",SF,WR,7,16,0,0,0,45.9,599,3.7,6.6,105.3,-2.8,-45.4,-10.9
 59. ,"Gibson, Brandon",STL,WR,5,16,0,0,0,42.7,570,4.1,6.4,103,-3,-47.7,-11.5
 60. ,"Branch, Deion",NE,WR,7,16,0,0,0,42.5,566,4.1,6.4,102.5,-3,-48.1,-11.6
 61. ,"Driver, Donald",GB,WR,8,16,0,0,0,46.3,553,3.8,6.3,101.3,-3.1,-49.4,-11.9
 62. ,"Washington, Nate",TEN,WR,6,16,0,0,0,40.8,586,3.6,6.3,100.6,-3.1,-50.1,-12.1
 63. ,"Jones, James",GB,WR,8,16,0,0,0,41,536,4.3,6.2,99.6,-3.2,-51.1,-12.3
 64. ,"Breaston, Steve",KC,WR,6,16,0,0,0,42.5,565,3.3,6.1,97.6,-3.3,-53,-12.8
 65. ,"Gaffney, Jabar",WAS,WR,5,16,0,0,0,43.7,567,2.8,6,95.4,-3.5,-55.3,-13.3
 66. ,"Hester, Devin",CHI,WR,8,16,1,6,0,39.8,509,3.9,5.9,94.7,-3.5,-56,-13.5
 67. ,"Decker, Eric",DEN,WR,6,16,0,0,0,41.2,546,3.1,5.9,93.8,-3.6,-56.9,-13.7
 68. ,"Jones, Jacoby",HOU,WR,11,16,0,0,0,42.5,518,3.3,5.8,92.9,-3.6,-57.8,-13.9
 69. ,"Hartline, Brian",MIA,WR,5,16,1,4,0,40.1,527,2.7,5.6,89.5,-3.8,-61.1,-14.7
 70. ,"Douglas, Harry",ATL,WR,8,16,0,0,0,39.3,500,3.3,5.6,89.5,-3.8,-61.2,-14.7
 71. ,"Mason, Derrick",HOU,WR,11,16,0,0,0,41.7,517,2.5,5.5,87.6,-3.9,-63.1,-15.2
 72. ,"Shipley, Jordan",CIN,WR,7,16,0,0,0,44.5,501,2.5,5.5,87.4,-4,-63.3,-15.2
 73. ,"Moore, Denarius",OAK,WR,8,16,0,0,0,37.3,500,2.9,5.4,86,-4,-64.7,-15.6
 74. ,"Berrian, Bernard",MIN,WR,9,16,0,0,0,39.6,483,2.9,5.4,85.8,-4.1,-64.9,-15.6
 75. ,"Hill, Jason",JAX,WR,9,16,0,0,0,34.4,503,2.8,5.3,84.5,-4.1,-66.2,-15.9
 76. ,"Sanders, Emmanuel",PIT,WR,11,16,0,0,0,35.4,472,2.9,5.1,82.2,-4.3,-68.5,-16.5
 77. ,"Jones, Donald",BUF,WR,7,16,0,0,0,36.1,458,2.6,5,79.5,-4.4,-71.2,-17.1
 78. ,"Briscoe, Dezmon",TB,WR,8,16,0,0,0,33.5,452,2.9,5,79.3,-4.5,-71.4,-17.2
 79. ,"Brown, Antonio",PIT,WR,11,16,0,0,0,35.1,449,2.8,5,79.3,-4.5,-71.4,-17.2
 80. ,"Robiskie, Brian",JAX,WR,9,16,0,0,0,39,447,2.3,4.9,77.8,-4.6,-72.9,-17.5
 81. ,"Armstrong, Anthony",WAS,WR,5,16,0,0,0,30.2,472,2.4,4.8,76.5,-4.6,-74.2,-17.8
