,,,Bye,GP,Fum,Recp,Rec. Yds,Rec. TDs
Dwayne Allen,IND,TE,10,0,0.2,41.0,495,8.5
Jace Amaro,NYJ,TE,5,0,0.2,40.5,391,2.4
Gary Barnidge,CLE,TE,11,0,0.1,16.5,187,1.6
Martellus Bennett,CHI,TE,7,0,0.4,72.5,777,5.8
Trey Burton,PHI,TE,8,0,0.0,6.0,82,0.6
Jordan Cameron,MIA,TE,5,0,0.3,54.0,608,5.2
Derek Carrier,WAS,TE,8,0,0.0,14.0,141,1.1
James Casey,DEN,TE,7,0,0.0,10.5,107,0.9
Brent Celek,PHI,TE,8,0,0.1,26.0,327,1.7
Scott Chandler,NE,TE,4,0,0.1,18.0,217,2.8
Orson Charles,NO,TE,11,0,0.0,1.0,12,0.1
Charles Clay,BUF,TE,8,0,0.2,45.0,488,3.9
Jared Cook,STL,TE,6,0,0.7,46.5,534,3.6
Jeff Cumberland,NYJ,TE,5,0,0.1,20.5,205,2.1
Owen Daniels,DEN,TE,7,0,0.2,51.0,535,5.1
Vernon Davis,SF,TE,10,0,0.2,44.0,521,4.4
Ed Dickson,CAR,TE,5,0,0.1,11.5,115,0.7
Larry Donnell,NYG,TE,11,0,0.2,52.0,552,4.7
Jack Doyle,IND,TE,10,0,0.0,4.0,27,0.7
Jim Dray,CLE,TE,11,0,0.1,10.0,92,0.4
Eric Ebron,DET,TE,9,0,0.2,47.0,514,3.2
Tyler Eifert,CIN,TE,7,0,0.2,53.0,639,4.7
Rhett Ellison,MIN,TE,5,0,0.1,5.5,45,0.3
Zach Ertz,PHI,TE,8,0,0.2,55.0,689,4.6
Gavin Escobar,DAL,TE,6,0,0.1,16.0,184,2.7
Anthony Fasano,TEN,TE,4,0,0.1,14.0,150,1.5
Joseph Fauria,DET,TE,9,0,0.1,9.0,94,1.7
Daniel Fells,NYG,TE,11,0,0.1,9.5,103,0.8
Darren Fells,ARI,TE,9,0,0.1,5.5,55,0.4
C.J. Fiedorowicz,HOU,TE,9,0,0.1,10.5,103,0.9
Coby Fleener,IND,TE,10,0,0.2,40.0,502,4.7
Antonio Gates,SD,TE,10,0,0.7,45.0,529,6.0
Crockett Gillmore,BAL,TE,9,0,0.2,36.5,405,3.3
Richard Gordon,KC,TE,9,0,0.0,1.0,10,0.1
Chris Gragg,BUF,TE,8,0,0.1,4.5,47,0.4
Garrett Graham,HOU,TE,9,0,0.2,34.0,341,2.2
Jimmy Graham,SEA,TE,9,0,0.3,74.5,939,9.4
MarQueis Gray,BUF,TE,8,0,0.0,6.5,71,0.6
Ladarius Green,SD,TE,10,0,0.2,37.5,435,4.0
Virgil Green,DEN,TE,7,0,0.1,16.5,178,1.6
Jermaine Gresham,ARI,TE,9,0,0.1,24.0,257,2.2
Ryan Griffin,HOU,TE,9,0,0.0,4.0,41,0.2
Rob Gronkowski,NE,TE,4,0,0.3,86.0,1139,11.9
Demetrius Harris,KC,TE,9,0,0.1,5.0,44,0.3
Cooper Helfet,SEA,TE,9,0,0.1,5.0,65,0.6
Josh Hill,NO,TE,11,0,0.2,47.5,577,4.6
Michael Hoomanawanui,NE,TE,4,0,0.0,1.5,15,0.2
Rob Housler,CLE,TE,11,0,0.1,21.0,214,1.4
Jesse James,PIT,TE,11,0,0.0,2.5,27,0.1
Travis Kelce,KC,TE,9,0,0.8,69.0,887,6.6
Lance Kendricks,STL,TE,6,0,0.1,24.5,248,3.8
Tyler Kroft,CIN,TE,7,0,0.1,9.0,80,0.3
Marcedes Lewis,JAX,TE,8,0,0.1,26.0,301,2.0
Vance McDonald,SF,TE,10,0,0.1,6.0,68,0.2
Heath Miller,PIT,TE,11,0,0.2,56.5,643,3.4
Zach Miller,CHI,TE,7,0,0.0,1.0,10,0.1
Tony Moeaki,ATL,TE,10,0,0.1,9.5,108,0.5
Brandon Myers,TB,TE,6,0,0.1,9.5,86,0.3
Troy Niklas,ARI,TE,9,0,0.0,11.0,117,1.2
Greg Olsen,CAR,TE,5,0,0.4,81.0,932,6.1
Logan Paulsen,WAS,TE,8,0,0.1,6.5,62,0.4
Brandon Pettigrew,DET,TE,9,0,0.1,7.0,63,0.3
John Phillips,SD,TE,10,0,0.0,2.0,18,0.1
MyCole Pruitt,MIN,TE,5,0,0.0,8.5,98,0.6
Andrew Quarless,GB,TE,7,0,0.1,19.0,202,1.7
Jordan Reed,WAS,TE,8,0,0.3,51.0,526,3.5
Mychal Rivera,OAK,TE,6,0,0.2,27.5,279,1.6
Adrien Robinson,NYG,TE,11,0,0.0,2.5,29,0.2
Richard Rodgers,GB,TE,7,0,0.2,42.0,490,4.3
Dante Rosario,CHI,TE,7,0,0.1,4.5,40,0.3
Kyle Rudolph,MIN,TE,5,0,0.2,50.5,504,6.2
Austin Seferian-Jenkins,TB,TE,6,0,0.2,49.0,559,4.4
Dion Sims,MIA,TE,5,0,0.1,23.0,241,1.9
Lee Smith,OAK,TE,6,0,0.0,2.0,25,0.2
Matt Spaeth,PIT,TE,11,0,0.0,3.5,36,0.5
Luke Stocker,TB,TE,6,0,0.1,6.0,41,0.4
Zach Sudfeld,NYJ,TE,5,0,0.0,2.5,27,0.1
