,,,Bye,GP,Car,Rush Yds,Rush TDs,Fum,Recp,Rec. Yds,Rec. TDs,KR TDs,PR TDs
Davante Adams,GB,WR,7,0,0,0,0.0,0.3,77.6,992,8.2,0.0,0.0
Nelson Agholor,PHI,WR,8,0,6,38,0.0,0.3,66.5,963,5.8,0.0,0.0
Kamar Aiken,BAL,WR,9,0,0,0,0.0,0.1,29.3,344,2.2,0.0,0.0
Keenan Allen,SD,WR,10,0,0,0,0.0,0.3,82.5,1006,6.5,0.0,0.0
Danny Amendola,NE,WR,4,0,0,0,0.0,0.1,31.0,287,1.7,0.0,0.0
Miles Austin,PHI,WR,8,0,0,0,0.0,0.0,2.0,24,0.2,0.0,0.0
Tavon Austin,STL,WR,6,0,14,95,1.6,0.7,36.5,352,1.8,0.0,0.0
Jason Avant,KC,WR,9,0,0,0,0.0,0.1,12.4,134,0.3,0.0,0.0
Stedman Bailey,STL,WR,6,0,0,2,0.0,0.2,35.6,499,2.0,0.0,0.0
Doug Baldwin,SEA,WR,9,0,0,2,0.0,0.3,64.5,815,3.5,0.0,0.0
Cole Beasley,DAL,WR,6,0,0,0,0.0,0.2,42.0,470,2.5,0.0,0.0
Odell Beckham Jr,NYG,WR,11,0,7,36,0.0,0.4,96.5,1429,11.6,0.0,0.0
Kenny Bell,TB,WR,6,0,0,0,0.0,0.0,9.9,124,0.3,0.0,0.0
Travis Benjamin,CLE,WR,11,0,2,14,0.0,0.1,8.0,124,0.4,0.0,0.0
Anquan Boldin,SF,WR,10,0,0,0,0.0,0.4,84.0,1038,5.7,0.0,0.0
Dwayne Bowe,CLE,WR,11,0,0,0,0.0,0.2,54.4,691,3.3,0.0,0.0
Kenny Britt,STL,WR,6,0,0,0,0.0,0.2,48.0,746,4.3,0.0,0.0
Antonio Brown,PIT,WR,11,0,3,17,0.0,0.5,116.0,1526,11.3,0.0,0.0
Corey Brown,CAR,WR,5,0,4,30,0.0,0.2,37.5,530,2.9,0.0,0.0
Jaron Brown,ARI,WR,9,0,0,0,0.0,0.1,22.7,253,1.6,0.0,0.0
John Brown,ARI,WR,9,0,2,17,0.0,0.3,66.0,949,5.9,0.0,0.0
Marlon Brown,BAL,WR,9,0,0,0,0.0,0.1,18.4,206,1.6,0.0,0.0
Dez Bryant,DAL,WR,6,0,0,0,0.0,0.9,93.0,1379,13.5,0.0,0.0
Martavis Bryant,PIT,WR,11,0,7,30,0.0,0.3,45.1,773,7.6,0.0,0.0
Isaiah Burse,DEN,WR,7,0,0,0,0.0,0.0,2.0,24,0.2,0.0,0.0
Brice Butler,OAK,WR,6,0,0,0,0.0,0.1,5.5,74,0.3,0.0,0.0
Andre Caldwell,DEN,WR,7,0,0,0,0.0,0.1,5.1,63,0.3,0.0,0.0
Mike Campanaro,BAL,WR,9,0,1,5,0.0,0.1,18.3,240,1.4,0.0,0.0
Sammie Coates,PIT,WR,11,0,0,0,0.0,0.1,16.9,240,1.4,0.0,0.0
Randall Cobb,GB,WR,7,0,9,37,0.0,0.4,88.1,1210,10.3,0.0,0.0
Brandon Coleman,NO,WR,11,0,0,0,0.0,0.2,40.4,607,3.9,0.0,0.0
Marques Colston,NO,WR,11,0,0,0,0.0,0.2,57.9,822,6.9,0.0,0.0
Chris Conley,KC,WR,9,0,0,0,0.0,0.2,39.4,546,3.5,0.0,0.0
Brandin Cooks,NO,WR,11,0,12,97,0.4,0.4,90.0,1026,6.8,0.0,0.0
Amari Cooper,OAK,WR,6,0,2,8,0.1,0.4,78.4,1043,6.5,0.0,0.0
