 , , , , , , , , , , ,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,TDs,Sack,Int,Fum,Saf,FP,FP,VBD,VBD,VAL
 1. ,Green Bay,GB,D,8,16,4.6,45.1,21.2,10.2,0,8.4,135.1,0.4,6.4,1.5
 2. ,Pittsburgh,PIT,D,11,16,4.2,46.9,19.4,11.7,0.3,8.4,134.4,0.4,5.7,1.4
 3. ,New England,NE,D,7,16,4.3,39.7,20.7,11.8,0,8.2,130.4,0.1,1.7,0.4
 4. ,Philadelphia,PHI,D,7,16,3.7,41.5,20.7,11.9,0,8,128.7,0,0,0
 5. ,NY Jets,NYJ,D,8,16,4.3,40.5,15,13.8,0,7.7,123.7,-0.3,-5.1,-1.2
 6. ,New Orleans,NO,D,11,16,3.7,38.5,16.6,13.3,0,7.5,120,-0.5,-8.7,-2.1
 7. ,Chicago,CHI,D,8,16,3.7,37,19.1,11.5,0,7.5,120,-0.5,-8.7,-2.1
 8. ,Baltimore,BAL,D,5,16,4.3,34.3,20.5,9.3,0.3,7.5,120,-0.5,-8.7,-2.1
 9. ,Detroit,DET,D,9,16,3.2,42,14.8,14,0,7.4,118.5,-0.6,-10.2,-2.5
 10. ,Atlanta,ATL,D,8,16,3.8,36.7,18.3,10.5,0,7.3,117.1,-0.7,-11.7,-2.8
 11. ,NY Giants,NYG,D,7,16,1.9,42.2,16.1,15.3,0,7.3,116.2,-0.8,-12.6,-3
 12. ,San Diego,SD,D,6,16,3.6,42.2,16,9.8,0,7.2,114.9,-0.9,-13.9,-3.3
 13. ,Dallas,DAL,D,5,16,3.9,37.7,16.3,10.3,0,7.1,114.1,-0.9,-14.6,-3.5
 14. ,Oakland,OAK,D,8,16,3.8,40.1,13.1,10.1,0,6.8,109.1,-1.2,-19.6,-4.7
 15. ,Arizona,ARI,D,6,16,3.5,33.1,15.9,10.9,0,6.7,107.6,-1.3,-21.1,-5.1
 16. ,Tampa Bay,TB,D,8,16,2.8,34.3,16.8,10.8,0,6.6,105.9,-1.4,-22.8,-5.5
 17. ,St. Louis,STL,D,5,16,2.4,39.6,13.3,11.8,0,6.5,104,-1.5,-24.7,-5.9
 18. ,Minnesota,MIN,D,9,16,2.7,36.2,15,10.3,0,6.4,102.6,-1.6,-26.1,-6.3
 19. ,San Francisco,SF,D,7,16,2.9,36.1,14.5,10,0,6.4,102.5,-1.6,-26.2,-6.3
 20. ,Kansas City,KC,D,6,16,2.7,35.5,14.9,10.5,0,6.4,102.2,-1.7,-26.5,-6.4
 21. ,Cleveland,CLE,D,5,16,2.4,31.8,17.5,9,0.3,6.2,99.7,-1.8,-29.1,-7
 22. ,Seattle,SEA,D,6,16,3.4,31.9,13.1,9.6,0.3,6.1,98.1,-1.9,-30.7,-7.4
 23. ,Indianapolis,IND,D,11,16,2.5,32.9,13.6,10.6,0.3,6.1,97,-2,-31.8,-7.6
 24. ,Tennessee,TEN,D,6,16,2.2,35.3,15.1,8.9,0,6,96,-2,-32.8,-7.9
 25. ,Carolina,CAR,D,9,16,1.5,33.1,16.1,10.6,0,6,95.6,-2.1,-33.1,-8
 26. ,Miami,MIA,D,5,16,2.2,37,13.5,9.4,0,6,95.5,-2.1,-33.2,-8
 27. ,Washington,WAS,D,5,16,2.5,30.8,13.2,10.4,0,5.8,93,-2.2,-35.7,-8.6
 28. ,Buffalo,BUF,D,7,16,2.7,29.8,14.4,9.1,0,5.8,92.6,-2.3,-36.1,-8.7
 29. ,Houston,HOU,D,11,16,2,32.5,13.7,9.6,0,5.7,91.3,-2.3,-37.5,-9
 30. ,Cincinnati,CIN,D,7,16,1.8,29.1,14.6,9.4,0,5.5,87.6,-2.6,-41.2,-9.9
 31. ,Denver,DEN,D,6,16,1.5,31.1,12.3,9.6,0,5.3,84.1,-2.8,-44.7,-10.7
 32. ,Jacksonville,JAX,D,9,16,1.7,27.6,12.1,7.1,0,4.7,75.8,-3.3,-52.9,-12.7
