 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 1. ,"Gates, Antonio",SD,TE,6,16,0,0,0,73.4,"1,015",8.8,11.9,191,3.3,52.6,12.6
 2. ,"Witten, Jason",DAL,TE,5,16,0,0,0,85.3,945,6.7,11.1,177.4,2.4,39,9.4
 3. ,"Finley, Jermichael",GB,TE,8,16,0,0,0,70.1,913,7.6,10.8,172.1,2.1,33.7,8.1
 4. ,"Clark, Dallas",IND,TE,11,16,0,0,0,81.7,860,7.2,10.6,170.1,2,31.7,7.6
 5. ,"Davis, Vernon",SF,TE,7,16,0,0,0,61.5,839,7.1,9.8,157,1.2,18.6,4.5
 6. ,"Daniels, Owen",HOU,TE,11,16,0,0,0,65.5,816,5.1,9.1,145,0.4,6.6,1.6
 7. ,"Graham, Jimmy",NO,TE,11,16,0,0,0,60.9,703,7.1,8.9,143.1,0.3,4.7,1.1
 8. ,"Lewis, Marcedes",JAX,TE,9,16,0,0,0,57.6,698,6.6,8.7,138.4,0,0,0
 9. ,"Gronkowski, Rob",NE,TE,7,16,0,0,0,53.1,654,7.4,8.5,136.5,-0.1,-1.9,-0.5
 10. ,"Winslow, Kellen",TB,TE,8,16,0,0,0,64.1,699,5.1,8.3,132.6,-0.4,-5.8,-1.4
 11. ,"Hernandez, Aaron",NE,TE,7,16,0,0,0,51.7,658,6,8,127.5,-0.7,-10.9,-2.6
 12. ,"Gonzalez, Tony",ATL,TE,8,16,0,0,0,61.4,611,5.4,7.8,124.2,-0.9,-14.2,-3.4
 13. ,"Cook, Jared",TEN,TE,6,16,0,0,0,58.5,669,4.5,7.7,123.4,-0.9,-15,-3.6
 14. ,"Keller, Dustin",NYJ,TE,8,16,0,0,0,56.6,664,4.7,7.7,122.8,-1,-15.6,-3.7
 15. ,"Pettigrew, Brandon",DET,TE,9,16,0,0,0,58.6,632,4.7,7.5,120.6,-1.1,-17.8,-4.3
 16. ,"Olsen, Greg",CAR,TE,9,16,0,0,0,55.9,608,4.7,7.3,116.8,-1.3,-21.6,-5.2
 17. ,"Celek, Brent",PHI,TE,7,16,0,0,0,48.6,563,4.7,6.8,108.7,-1.9,-29.7,-7.1
 18. ,"Gresham, Jermaine",CIN,TE,7,16,0,0,0,55.5,549,4.2,6.7,107.7,-1.9,-30.7,-7.4
 19. ,"Watson, Ben",CLE,TE,5,16,0,0,0,53.7,588,3.5,6.6,106.4,-2,-32.1,-7.7
 20. ,"Kendricks, Lance",STL,TE,5,16,0,0,0,45.5,543,4.8,6.6,106,-2,-32.4,-7.8
 21. ,"Miller, Heath",PIT,TE,11,16,0,0,0,49.3,560,4.2,6.6,105.6,-2,-32.8,-7.9
 22. ,"Miller, Zach",SEA,TE,6,16,0,0,0,49.9,588,3.6,6.6,105.4,-2.1,-33,-7.9
 23. ,"Cooley, Chris",WAS,TE,5,16,0,0,0,53,580,3.4,6.5,104.7,-2.1,-33.7,-8.1
 24. ,"Heap, Todd",ARI,TE,6,16,0,0,0,41.8,492,4,5.9,93.9,-2.8,-44.5,-10.7
 25. ,"Boss, Kevin",OAK,TE,8,16,0,0,0,41.1,470,3.5,5.5,88.3,-3.1,-50.1,-12
 26. ,"Shiancoe, Visanthe",MIN,TE,9,16,0,0,0,43.1,462,3.4,5.5,88,-3.2,-50.4,-12.1
 27. ,"Dickson, Ed",BAL,TE,5,16,0,0,0,37.5,461,3.6,5.4,86.5,-3.2,-52,-12.5
 28. ,"Davis, Fred",WAS,TE,5,16,0,0,0,36.6,442,2.9,5,80.1,-3.6,-58.3,-14
 29. ,"Fasano, Anthony",MIA,TE,5,16,0,0,0,37.4,422,3.2,5,80,-3.7,-58.4,-14.1
 30. ,"Beckum, Travis",NYG,TE,7,16,0,0,0,36.5,384,3.3,4.8,76.2,-3.9,-62.2,-15
 31. ,"Moore, Evan",CLE,TE,5,16,0,0,0,31.4,388,2.7,4.4,70.4,-4.3,-68,-16.4
 32. ,"Thomas, Julius",DEN,TE,6,16,0,0,0,30.2,334,2.5,4,63.2,-4.7,-75.2,-18.1
 33. ,"Scheffler, Tony",DET,TE,9,16,0,0,0,29.1,317,2,3.6,58.4,-5,-80,-19.2
 34. ,"Rudolph, Kyle",MIN,TE,9,16,0,0,0,26.8,295,2.1,3.5,55.4,-5.2,-83,-20
 35. ,"Shockey, Jeremy",CAR,TE,9,16,0,0,0,25.8,278,2.1,3.3,53.2,-5.3,-85.2,-20.5
 36. ,"Davis, Kellen",CHI,TE,8,16,0,0,0,23.3,270,2.4,3.3,52.9,-5.3,-85.6,-20.6
 37. ,"Pitta, Dennis",BAL,TE,5,16,0,0,0,26,262,2,3.2,51.4,-5.4,-87,-20.9
 38. ,"Fells, Daniel",DEN,TE,6,16,0,0,0,22.8,228,1.8,2.8,45,-5.8,-93.4,-22.5
 39. ,"Thomas, David",NO,TE,11,16,0,0,0,25.1,222,1.5,2.7,43.9,-5.9,-94.5,-22.7
 40. ,"Bennett, Martellus",DAL,TE,5,16,0,0,0,21,212,1.8,2.7,42.7,-6,-95.7,-23
 41. ,"Dreessen, Joel",HOU,TE,11,16,0,0,0,19.1,217,1.4,2.5,39.5,-6.2,-98.9,-23.8
 42. ,"Tamme, Jacob",IND,TE,11,16,0,0,0,19.3,203,1.5,2.4,38.9,-6.2,-99.5,-23.9
 43. ,"Walker, Delanie",SF,TE,7,16,0,0,0,21,224,0.8,2.4,37.7,-6.3,-100.7,-24.2
 44. ,"Miller, Zach",JAX,TE,9,16,0,0,0,18.4,199,1.2,2.3,36.4,-6.4,-102,-24.5
 45. ,"Hoomanawanui, Michael",STL,TE,5,16,0,0,0,18.7,200,1.2,2.3,36.4,-6.4,-102,-24.5
 46. ,"Stocker, Luke",TB,TE,8,16,0,0,0,17,180,0.9,2,32.2,-6.6,-106.2,-25.6
 47. ,"Pope, Leonard",KC,TE,6,16,0,0,0,16.7,154,1.4,2,32,-6.6,-106.4,-25.6
 48. ,"McMichael, Randy",SD,TE,6,16,0,0,0,15.6,164,1.2,2,31.4,-6.7,-107,-25.7
 49. ,"Chandler, Scott",BUF,TE,7,16,0,0,0,15,158,1.2,1.9,30.5,-6.7,-107.9,-26
 50. ,"Housler, Robert",ARI,TE,6,16,0,0,0,13,148,1,1.7,27.3,-6.9,-111.1,-26.7
 51. ,"Phillips, John",DAL,TE,5,16,0,0,0,11,112,1,1.4,22.7,-7.2,-115.8,-27.8
 52. ,"OConnell, Jake",KC,TE,6,16,0,0,0,10.3,105,0.7,1.2,19.7,-7.4,-118.7,-28.6
 53. ,"Coffman, Chase",CIN,TE,7,16,0,0,0,11.3,105,0.5,1.2,19.1,-7.5,-119.3,-28.7
 54. ,"Quarless, Andrew",GB,TE,8,16,0,0,0,9.8,100,0.6,1.2,18.5,-7.5,-119.9,-28.9
 55. ,"King, Jeff",ARI,TE,6,16,0,0,0,10.8,100,0.5,1.2,18.4,-7.5,-120,-28.9
 56. ,"Stevens, Craig",TEN,TE,6,16,0,0,0,11.8,108,0.3,1.1,18.1,-7.5,-120.3,-28.9
 57. ,"Martin, David",BUF,TE,7,16,0,0,0,10.3,92,0.5,1.1,17.3,-7.6,-121.1,-29.1
 58. ,"McCoy, Anthony",SEA,TE,6,16,0,0,0,8.7,92,0.3,1,15.6,-7.7,-122.8,-29.6
 59. ,"Cameron, Jordan",CLE,TE,5,16,0,0,0,8.7,90,0.3,1,15.3,-7.7,-123.1,-29.6
 60. ,"Spaeth, Matt",CHI,TE,8,16,0,0,0,7.6,76,0.6,0.9,15,-7.7,-123.4,-29.7
 61. ,"Green, Virgil",DEN,TE,6,16,0,0,0,6,72,0.7,0.9,14.2,-7.8,-124.2,-29.9
 62. ,"Ballard, Jake",NYG,TE,7,16,0,0,0,7.5,74,0.5,0.9,14.2,-7.8,-124.3,-29.9
 63. ,"Harbor, Clay",PHI,TE,7,16,0,0,0,7,71,0.4,0.8,13,-7.8,-125.4,-30.2
 64. ,"Graham, Daniel",TEN,TE,6,16,0,0,0,7.5,75,0.3,0.8,12.8,-7.9,-125.7,-30.2
 65. ,"Casey, James",HOU,TE,11,16,0,0,0,7,70,0.3,0.8,12.5,-7.9,-125.9,-30.3
 66. ,"Morrah, Cameron",SEA,TE,6,16,0,0,0,7.8,83,0,0.8,12.2,-7.9,-126.2,-30.4
 67. ,"Kelly, Reggie",ATL,TE,8,16,0,0,0,8.3,75,0,0.7,11.6,-7.9,-126.8,-30.5
 68. ,"Williams, D.J.",GB,TE,8,16,0,0,0,5,62,0.3,0.7,10.7,-8,-127.7,-30.7
 69. ,"Myers, Brandon",OAK,TE,8,16,0,0,0,6,53,0.3,0.6,9.8,-8,-128.6,-30.9
 70. ,"Pascoe, Bear",NYG,TE,7,16,0,0,0,7,60,0,0.6,9.5,-8.1,-128.9,-31
 71. ,"Dray, Jim",ARI,TE,6,16,0,0,0,5.5,54,0,0.5,8.1,-8.1,-130.3,-31.3
 72. ,"Peelle, Justin",SF,TE,7,16,0,0,0,4.5,51,0,0.5,7.4,-8.2,-131.1,-31.5
 73. ,"Kleinsasser, Jim",MIN,TE,9,16,0,0,0,4.3,40,0,0.4,6.1,-8.3,-132.3,-31.8
 74. ,"Bajema, Billy",STL,TE,5,16,0,0,0,4.3,38,0,0.4,5.9,-8.3,-132.5,-31.9
 75. ,"Sperry, Kory",SD,TE,6,16,0,0,0,3.7,37,0,0.3,5.5,-8.3,-132.9,-32
 76. ,"Mulligan, Matthew",NYJ,TE,8,16,0,0,0,3,28,0,0.3,4.3,-8.4,-134.1,-32.3
 77. ,"Crabtree, Tom",GB,TE,8,16,0,0,0,3,28,0,0.3,4.3,-8.4,-134.2,-32.3
 78. ,"Cumberland, Jeff",NYJ,TE,8,16,0,0,0,3,25,0,0.2,4,-8.4,-134.5,-32.3
 79. ,"Palmer, Michael",ATL,TE,8,16,0,0,0,2.5,24,0,0.2,3.7,-8.4,-134.8,-32.4
