 , , , , , , , ,Pass,Pass,Pass, ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Att,Cmp,Yds,TDs,Int,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 1. ,"Vick, Michael",PHI,QB,7,16,468,289,"3,558",24.2,13,108,714,6.6,0,0,0,21.1,337.1,6.9,110.4,26.6
 2. ,"Rodgers, Aaron",GB,QB,8,16,538,350,"4,338",32.1,12.1,53,268,2.9,0,0,0,20.9,333.8,6.7,107,25.7
 3. ,"Brady, Tom",NE,QB,7,16,538,355,"4,181",33.1,9.2,28,51,0.9,0,0,0,18.8,301.1,4.6,74.4,17.9
 4. ,"Brees, Drew",NO,QB,11,16,595,397,"4,404",32.3,15.7,16,22,0.4,0,0,0,18.4,294.5,4.2,67.8,16.3
 5. ,"Rivers, Philip",SD,QB,6,16,528,346,"4,432",30.6,12.2,28,55,0.1,0,0,0,18.4,293.9,4.2,67.2,16.2
 6. ,"Romo, Tony",DAL,QB,5,16,545,356,"4,231",29.9,14.4,27,87,0.7,0,0,0,18,287.4,3.8,60.6,14.6
 7. ,"Roethlisberger, Ben",PIT,QB,11,16,494,311,"3,927",25.5,11.5,41,139,1.8,0,0,0,17,272.4,2.9,45.7,11
 8. ,"Manning, Peyton",IND,QB,11,16,551,358,"4,009",29,14.8,18,21,0.7,0,0,0,16.7,267.6,2.6,40.8,9.8
 9. ,"Freeman, Josh",TB,QB,8,16,501,305,"3,557",23.7,12,61,305,1.8,0,0,0,16.6,266.3,2.5,39.5,9.5
 10. ,"Schaub, Matt",HOU,QB,11,16,555,358,"4,227",25.2,13.4,24,47,0.3,0,0,0,16.4,263.1,2.3,36.3,8.7
 11. ,"Ryan, Matt",ATL,QB,8,16,555,344,"3,869",27.1,12.1,33,82,0.6,0,0,0,16.4,262.7,2.2,36,8.7
 12. ,"Stafford, Matthew",DET,QB,9,16,551,328,"3,797",26.5,14.6,29,85,0.7,0,0,0,16,256.2,1.8,29.5,7.1
 13. ,"Manning, Eli",NYG,QB,7,16,529,323,"3,854",27.3,17.2,25,59,0.3,0,0,0,15.9,254,1.7,27.2,6.5
 14. ,"Flacco, Joe",BAL,QB,5,16,505,314,"3,652",23.9,12.8,37,93,1.2,0,0,0,15.3,245.4,1.2,18.6,4.5
 15. ,"Bradford, Sam",STL,QB,5,16,557,342,"3,765",23.6,14.8,27,70,0.9,0,0,0,15.2,243,1,16.2,3.9
 16. ,"Cutler, Jay",CHI,QB,8,16,487,293,"3,442",23.8,17.4,45,192,1.2,0,0,0,15.1,242.1,1,15.3,3.7
 17. ,"Sanchez, Mark",NYJ,QB,8,16,523,295,"3,427",21.4,15,31,107,1.7,0,0,0,14.3,228.8,0.1,2.1,0.5
