 , , , , , , ,Rush,Rush, ,Rec,Rec,AVG,TOT,AFP,TFP,$$$
 , , , ,Bye,GP,Car,Yds,TDs,Recp,Yds,TDs,FP,FP,VBD,VBD,VAL
 1. ,"Rice, Ray",BAL,RB,5,16,287,"1,272",8.1,66.2,592,1.9,17.5,280,9.9,157.9,38
 2. ,"Peterson, Adrian",MIN,RB,9,16,308,"1,363",12.5,41,372,1.4,17.3,277.5,9.7,155.4,37.4
 3. ,"Foster, Arian",HOU,RB,11,16,267,"1,218",11.4,50.7,453,1.7,16.9,270.6,9.3,148.4,35.7
 4. ,"Charles, Jamaal",KC,RB,6,16,253,"1,367",7.8,47.9,438,2.2,16.5,264.5,8.9,142.4,34.3
 5. ,"Johnson, Chris",TEN,RB,6,16,295,"1,334",10.6,41.4,293,1.4,16,255.3,8.3,133.1,32
 6. ,"McCoy, LeSean",PHI,RB,7,16,217,"1,041",7.2,67.9,521,2.6,15.6,248.9,7.9,126.7,30.5
 7. ,"Jones-Drew, Maurice",JAX,RB,9,16,277,"1,228",8.5,44.8,384,1.5,15.2,243.5,7.6,121.4,29.2
 8. ,"Mendenhall, Rashard",PIT,RB,11,16,303,"1,250",12.1,30.4,238,1.1,15.2,243.3,7.6,121.1,29.1
 9. ,"Hillis, Peyton",CLE,RB,5,16,245,"1,059",8.9,53.7,401,1.5,14.7,235.6,7.1,113.5,27.3
 10. ,"Gore, Frank",SF,RB,7,16,254,"1,110",6.8,52,454,1.9,14.7,234.7,7,112.6,27.1
 11. ,"Forte, Matt",CHI,RB,8,16,245,"1,055",5.7,56.4,507,2.6,14.6,234.1,7,111.9,26.9
 12. ,"Jackson, Steven",STL,RB,5,16,285,"1,145",6.9,49.3,395,1.4,14.3,228.4,6.6,106.2,25.6
 13. ,"McFadden, Darren",OAK,RB,8,16,212,"1,023",6.9,47.1,442,2,14,223.6,6.3,101.5,24.4
 14. ,"Jones, Felix",DAL,RB,5,16,226,"1,017",6.4,49.9,410,1.4,13.4,214.3,5.8,92.1,22.2
 15. ,"Bradshaw, Ahmad",NYG,RB,7,16,235,"1,077",6.9,44.8,338,1.2,13.3,212.8,5.7,90.7,21.8
 16. ,"Turner, Michael",ATL,RB,8,16,293,"1,255",11.3,11.3,76,0,12.9,206.6,5.3,84.5,20.3
 17. ,"Best, Jahvid",DET,RB,9,16,203,828,5.5,56.7,480,2.2,12.9,205.8,5.2,83.6,20.1
 18. ,"Blount, LeGarrette",TB,RB,8,16,276,"1,224",8.7,14.9,92,0.1,12,192.2,4.4,70,16.8
 19. ,"Moreno, Knowshon",DEN,RB,6,16,218,921,5.1,41.9,371,1.7,11.9,190.8,4.3,68.6,16.5
 20. ,"Mathews, Ryan",SD,RB,6,16,218,959,7.6,33.6,235,1.1,11.8,188.2,4.1,66.1,15.9
 21. ,"Ingram, Mark",NO,RB,11,16,213,941,9.2,25.8,190,0.4,11.5,183.9,3.9,61.8,14.9
 22. ,"Greene, Shonn",NYJ,RB,8,16,260,"1,141",7.9,17,126,0,11.4,182.6,3.8,60.5,14.6
 23. ,"Williams, DeAngelo",CAR,RB,9,16,198,932,6.8,31,242,0.8,11.1,178.3,3.5,56.1,13.5
 24. ,"Bush, Reggie",MIA,RB,5,16,173,708,4.5,53.8,389,2.2,11,176.7,3.4,54.6,13.1
 25. ,"Hightower, Tim",WAS,RB,5,16,203,865,5.9,36.6,262,1.2,10.9,173.8,3.2,51.7,12.4
 26. ,"Jackson, Fred",BUF,RB,7,16,216,921,5.5,32.9,240,1.2,10.8,173.2,3.2,51.1,12.3
 27. ,"Wells, Chris",ARI,RB,6,16,232,964,7.5,21.7,176,0.3,10.7,171.5,3.1,49.3,11.9
